Name,Platform,Year_of_Release,Publisher,NA_Sales,EU_Sales,Other_Sales
Asteroids,2600,1980,Atari,4,0.26,0.05
Missile Command,2600,1980,Atari,2.56,0.17,0.03
Kaboom!,2600,1980,Activision,1.07,0.07,0.01
Defender,2600,1980,Atari,0.99,0.05,0.01
Boxing,2600,1980,Activision,0.72,0.04,0.01
Ice Hockey,2600,1980,Activision,0.46,0.03,0.01
Freeway,2600,1980,Activision,0.32,0.02,0
Bridge,2600,1980,Activision,0.25,0.02,0
Checkers,2600,1980,Atari,0.22,0.01,0
Pitfall!,2600,1981,Activision,4.21,0.24,0.05
Frogger,2600,1981,Parker Bros.,2.06,0.12,0.02
Demon Attack,2600,1981,Imagic,1.99,0.12,0.02
E.T.: The Extra Terrestrial,2600,1981,Atari,1.84,0.11,0.02
Ms. Pac-Man,2600,1981,Atari,1.54,0.1,0.02
River Raid,2600,1981,Activision,1.49,0.09,0.02
Donkey Kong,2600,1981,Coleco,1.36,0.08,0.02
Centipede,2600,1981,Atari,1.26,0.08,0.01
Atlantis,2600,1981,Imagic,1.18,0.08,0.01
Megamania,2600,1981,Activision,1.03,0.06,0.01
Cosmic Ark,2600,1981,Imagic,0.99,0.05,0.01
Donkey Kong Junior,2600,1981,Atari,0.9,0.05,0.01
Spider-Man,2600,1981,Parker Bros.,0.87,0.05,0.01
Custer's Revenge,2600,1981,Mystique,0.76,0.05,0.01
Alien,2600,1981,20th Century Fox Video Games,0.74,0.04,0.01
Air Raid,2600,1981,Men-A-Vision,0.72,0.04,0.01
